,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
41,-0.0001317529,0.0038476381,0.018338794,-0.011637495,-0.008397496,0.033374045,0.24019402,0.093490094,0.005944817,-0.0036656298,-0.0010728829
42,0.0014898921,0.0048690443,0.012230906,-0.03654412,0.022863712,0.031001775,-0.007338646,0.03708702,0.0046428647,-0.0041473573,0.0029278402
43,0.001553816,0.0124972975,-0.0011695143,-0.051190607,0.0254523,0.007620435,-0.25398165,-0.10812264,0.0044634175,-0.0009684364,-0.000354265
44,-0.001798962,0.0127115445,-0.00046151486,-0.028920177,0.01200121,-0.037768614,-0.2940704,0.050964173,-0.0075787287,-0.00091874396,-0.005195565
45,-0.0037237662,0.026280642,-0.01944325,0.0046627447,-0.009860638,-0.06147808,-0.07880776,0.024764325,0.004120183,-0.00061300653,0.00015573387
46,0.00469713,0.016413696,-0.04112471,0.020459186,-0.025510898,-0.013528983,0.2196106,-0.040393393,0.0014763051,-0.00027032252,0.002060011
47,0.0064930194,0.009324644,-0.05417964,0.049187005,-0.03813406,0.0021481223,0.29198796,0.005211876,-0.003895279,-0.0013693484,-0.00039739185
48,0.011194592,-0.004282012,-0.02670784,0.05329147,-0.024938215,-0.044534706,0.15809344,0.04617219,-0.0007633065,0.0027966946,-0.00073194224
49,0.014026599,-0.009218214,-0.0017572122,0.0462618,0.0067799347,0.065068156,-0.11597928,-0.029010262,-0.002778114,0.0022363951,-0.0012851442
50,0.01618807,0.00053090934,0.010658151,-0.011882953,0.020097027,0.13501719,-0.31830963,-0.014505162,-0.0014702021,0.0010769807,0.00090780656
51,0.008104096,-0.042955484,0.03471395,-0.052190777,0.02073714,0.08189179,-0.17658965,0.040339638,-0.0050810995,-0.0022829934,0.00055589806
52,0.01976337,-0.04026174,0.047234178,-0.07134622,0.010518239,0.010645365,0.13824812,-0.055609457,-0.001963919,-0.0018622221,0.00257974
